first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username,twitter
Sofiane,Aboura,pab28,5,2,54,13,2036,648,652,@sofianeaboura,1
Cristina,Abad,pab280,1,0,5,8,,,,,0
Gary,Abel,pab281,1,0,2,8,,,,,0
Bassam,Abu Al-Foul,pab283,2,1,30,11,,,,,0
Jan,Abrell,pab286,5,4,130,10,,,,,0
Melaku,Abegaz,pab287,1,0,1,1,,,,,0
Puriya,Abbassi,pab289,7,7,144,8,,,,,0
Esmaiel,Abounoori,pab29,4,0,23,12,,,,,0
Turkhan Ali,Abdul Manap,pab291,2,2,42,13,,,,,0
Hashem,Abouwafia,pab292,1,0,2,1,,,,,0
Kenzo,Abe,pab30,7,6,120,30,,,,,0
Angela,Abbate,pab300,3,1,55,4,,,,,0
Vasif,Abiyev,pab303,1,0,1,2,,,,,0
Nicolas,Abad,pab308,1,0,3,5,,,,,0
Abdurohman,Abdurohman,pab311,1,0,1,6,,,,,0
Jens,Abildtrup,pab315,5,1,61,16,,,,,0
Davinson,Abril Salcedo,pab318,1,0,1,1,,,,,0
Katharine,Abraham,pab32,21,28,1852,39,,,,,0
Kim,Abildgren,pab325,3,0,19,10,19,0,41,@kim_abildgren,1
Azrul,Abdullah,pab329,1,1,56,10,,,,,0
Nurudeen,Abu,pab332,2,1,17,7,,,,,0
Emmanuel,Abbey,pab333,1,0,1,1,,,,,0
Ignacio,Abasolo,pab338,4,2,50,13,,,,,0
Menachem,Abudy,pab339,1,0,2,5,,,,,0
Ali,Abbas,pab34,1,0,1,1,,,,,0
Touhami,Abdelkhalek,pab343,3,1,52,19,,,,,0
Ama,Abeberese,pab344,2,0,13,7,,,,,0
Mary-Fidelis,Abiahu,pab351,1,0,1,1,,,,,0
A.S.,Abdul-Rahim,pab354,1,0,3,3,,,,,0
Michael Ralph,Abrigo,pab357,3,2,61,8,,,,,0
Sikiru,Abdulsalam,pab358,1,0,1,10,,,,,0
Subhash,Abhayawansa,pab362,1,0,4,7,,,,,0
Malcolm,Abbott,pab364,7,6,342,20,,,,,0
Shahzad,Abbas,pab366,1,1,23,18,,,,,0
Jorge,Abad,pab367,1,1,19,1,58,489,62,@jrg_abad,1
Mohammad Jalal,Abbasi-Shavazi,pab375,2,0,20,9,,,,,0
Gashaw,Abate,pab378,3,0,18,4,,,,,0
Hala,Abou-Ali,pab379,3,0,29,13,,,,,0
Luis,Abreu,pab383,10,10,717,1,,,,,0
Jason,Abrevaya,pab39,12,14,610,18,,,,,0
Arpad,Abraham,pab40,7,6,178,11,,,,,0
Antonio,Abatemarco,pab43,1,0,8,14,,,,,0
Masahiro,Abe,pab52,2,2,67,22,,,,,0
Maria,Abreu,pab53,2,2,164,5,,,,,0
Naohito,Abe,pab56,5,3,98,19,,,,,0
Ghulam,Mohey-ud-din,pab58,1,0,4,12,962,249,58,@moheyuddin,1
Pilar,Abad,pab62,5,2,101,14,,,,,0
Abdelkrim,Araar,pab66,8,7,207,24,,,,,0
Margarida,Abreu,pab67,4,3,53,19,,,,,0
Alberto,Abadie,pab7,19,23,3916,23,,,,,0
Aled,ab Iorwerth,pab70,1,1,17,15,,,,,0
Emmanuel,Abuelafia,pab74,2,1,15,4,,,,,0
Michael,Abbott,pab80,3,1,29,23,,,,,0
Qaisar,Abbas,pab81,3,2,30,10,,,,,0
Aamer,Abu-Qarn,pab82,7,6,283,16,,,,,0
Mirko,Abbritti,pab84,7,5,108,12,,,,,0
Jose-Maria,Abellan-Perpiñan,pab85,7,5,122,16,,,,,0
Kalbe,Abbas,pab87,3,0,33,27,,,,,0
Syed,Abbas,pab88,2,1,21,13,,,,,0
Kaludura,Abayasiri-Silva,pab90,2,0,13,8,,,,,0
Salem,Abo-Zaid,pab92,4,1,43,7,,,,,0
Faisal,Abbas,pab93,4,4,96,10,,,,,0
Rosa,Abrantes-Metz,pab95,1,1,67,1,,,,,0
Daniel,Ackerberg,pac11,11,12,1279,18,,,,,0
Daron,Acemoglu,pac16,69,173,24873,29,32,341,"24,100",@DrDaronAcemoglu,1
Zoltan,Acs,pac17,31,61,5138,30,,,,,0
Frank,Ackerman,pac18,10,10,347,42,,,,,0
Pablo,Acosta,pac19,11,12,630,16,,,,,0
Virginia,Acha,pac20,3,0,25,4,,,,,0
Elvio,Accinelli,pac21,4,1,57,22,,,,,0
Manuel,Acosta,pac23,6,3,85,17,,,,,0
Robert,Ackland,pac26,1,1,28,22,,,,,0
Lucy,Ackert,pac32,11,14,372,27,,,,,0
Viral,Acharya,pac33,34,56,4898,20,,,,,0
Raul,Acosta,pac35,1,0,1,5,,,,,0
Martin,Achtnicht,pac38,6,5,151,8,,,,,0
Ali,Ali,pac4,10,10,764,9,,,,,0
Rajat,Acharyya,pac41,5,3,96,23,,,,,0
Sushant,Acharya,pac42,2,0,14,8,,,,,0
Avidit,Acharya,pac43,3,0,21,7,,,,,0
Sanjaya,Acharya,pac44,4,0,34,13,,,,,0
Omer,Acikgoz,pac45,4,2,35,5,,,,,0
Nicola,Acocella,pac46,6,2,130,20,,,,,0
Carolina,Achury,pac47,1,1,10,11,,,,,0
Keith,Acheson,pac49,6,4,94,41,,,,,0
Antonio,Accetturo,pac50,7,5,139,9,,,,,0
Carmen,Acatrinei (Pantea),pac51,1,0,5,7,,,,,0
Senay,Acikgoz,pac52,2,0,14,9,,,,,0
Karina,Acosta,pac53,3,0,20,3,,,,,0
Thom,Achterbosch,pac55,2,1,16,6,,,,,0
Monica,Achim,pac56,1,0,7,8,,,,,0
Sevil,Acar,pac57,5,1,40,8,,,,,0
Mohamed Akli,Achabou,pac61,5,4,64,7,,,,,0
Eugenio,Actis Di Pasquale,pac64,2,0,11,16,,,,,0
Olivier,Accominotti,pac67,6,5,111,12,,,,,0
Ishmael,Ackah,pac69,3,0,26,3,,,,,0
Antonio,Acconcia,pac7,6,2,146,16,,,,,0
Debashis,Acharya,pac73,3,1,26,14,,,,,0
Carlo,Acerbi,pac74,7,6,541,7,,,,,0
Miguel,Acosta,pac75,2,1,14,1,,,,,0
