first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username
Fiona,Burlig,pbu426,1,0,3,1,"2,392","1,776",895, @fburlig 
Felipe,Barrera-Osorio,pba426,9,9,353,24,"1,882",553,"2,821", @felbarrera 
Sandile,Hlatshwayo,phl19,3,1,25,4,"5,716","1,302","1,511", @femme_economics 
Laurent,Ferrara,pfe27,12,16,450,20,477,478,513, @ferraralaurent 
Florentino,Felgueroso,pfe150,9,9,300,20,"2,654",225,"2,139", @ffelgueroso 
FranÃ§ois,Geerolf,pge296,2,0,11,4,119,733,190, @fgeerolf 
Finn,Tarp,pta125,21,46,2565,37,"13,100","14,900","22,800", @finnsangle 
Christian,Fischer,pfi294,1,0,8,1,87,91,58, @fischr_ 
Rune,Fitjar,pfi154,5,3,123,8,"3,223","1,221",848, @fitjar 
Fernando,Diaz Lopez,pda433,1,0,6,1,"1,464",705,310, @fjdiazlopez 
Florence,Kondylis,pko416,6,5,150,12,453,654,476, @fkondylis 
Florian,Ederer,ped10,8,6,269,13,"2,492",618,"2,495", @florianederer 
Fumio,Ohtake,poh7,10,10,333,33,"8,435",217,"20,000", @fohtake 
Kelly,Foley,pfo151,2,1,24,7,"2,682",607,492, @foley_kelly 
Felix,Forster,pfo281,1,0,2,1,461,399,165, @forster_felix 
Franck,Portier,ppo12,14,20,1154,30,60,16,145, @fpjportier 
Fernando,Ramos-Palencia,pra435,2,0,13,18,"10,800",555,367, @framospalencia 
Francesco,Salustri,psa1373,2,0,11,3,"1,416",999,282, @francescosalust 
Frances,Woolley,pwo16,7,4,238,20,"4,239","1,064","3,238", @franceswoolley 
Francis,Diebold,pdi1,53,96,15272,31,482,20,"2,700", @francisdiebold 
Francois,Gourio,pgo158,10,10,587,15,"2,188","1,485","1,206", @francoisgourio 
Francesco,Pastore,ppa23,10,10,295,20,"1,530",436,386, @francpastore 
Frank,Jotzo,pjo49,11,15,444,16,"4,168",731,"2,715", @frankjotzo 
Francisca,Silva,psi358,2,2,44,11,"2,876",557,"1,252", @fransilvat 
Arthur,Charpentier,pch1623,5,4,105,12,45900,"11,400","21,800", @freakonometrics 
FrÃ©dÃ©ric,Marty,pma442,3,0,27,15,"1,572",378,693, @fred_marty 
Paul,Frijters,pfr18,20,37,4600,20,167,49,445, @frijterspaul 
Francesco,Saraceno,psa106,10,10,285,15,"7,294",698,"2,446", @fsaraceno 
Francesco,Sobbrio,pso242,7,5,128,9,272,90,103, @fsobbrio 
Gilles,Spielvogel,psp32,4,2,82,13,341,"1,259",443, @g_spielvogel 
Gabriella,Conti,pco273,10,11,344,12,2079,320,380, @gabri_elle76 
Gabriel,BurdÃ?n,pbu170,4,2,97,8,"5,346","1,849","1,575", @gabrielburdin 
GaÃ«tan,NicodÃ¨me,pni10,19,30,1220,20,685,"1,256",492, @gaetannicodeme 
Jaqueson,Galimberti,pga316,4,1,35,8,75,132,79, @galimberti_jk 
Bernhard,Ganglmair,pga159,2,1,22,7,740,676,257, @ganglmair 
Andres,Garcia-Suaza,pga253,4,2,75,11,180,494,224, @garciasuaza 
Garett,Jones,pjo80,8,7,258,12,"1,044",119,"9,136", @garettjones 
Garth,Heutel,phe315,12,13,436,12,"1,396",794,702, @garthheutel 
Gaston,Heimeriks,phe440,6,4,117,14,994,345,510, @gastonheimeriks 
Gustavo,Caballero Orozco,pca706,1,0,3,9,"6,044",716,200, @gcaballeroo 
Gaetan,de Rassenfosse,pde369,8,7,222,11,371,137,348, @gderasse 
Gerardo,Infante,pin66,2,1,14,4,"1,210",443,482, @ge_inf 
GermÃ ,Bel,pbe104,12,16,536,22,"23,400","2,769","70,800", @gebelque 
Gema,Zamarro,pza117,9,9,272,18,"1,928",413,507, @gema_zamarro 
Gemma,Tetlow,pte169,6,2,100,11,736,193,"2,453", @gemmatetlow 
Sven,MÃ?ller,pml29,2,1,24,9,"1,686",906,729, @geooptimization 
Georg,Zachmann,pza66,7,5,271,12,"2,637","1,014","1,726", @georgzachmann 
Geraint,Johnes,pjo17,14,21,683,32,"3,893",386,"1,076", @geraintjohnes 
Gerardo,Licandro,pli996,3,1,27,25,"5,032",207,"2,330", @gerardolicandro 
Gert,Peersman,ppe413,24,29,2592,18,"2,333",624,"8,721", @gertpeersman 
Guillaume,Gaulier,pga84,15,21,1125,20,"2,009",523,671, @ggaulier 
Guillaume,GruÃ¨re,pgr132,8,7,160,16,"2,014",227,296, @ggruere 
Gianmarco,Daniele,pda714,2,1,22,5,271,"1,246","1,492", @giammacco 
Giampiero,Gallo,pga48,14,20,749,29,"2,886",590,"1,255", @giampierogallo 
Gianni,Guastella,pgu344,4,0,35,7,205,424,114, @gianniguastella 
Giovanni,Bernardo,pbe875,1,0,8,2,"1,556",689,519, @giobernardo 
Giovanni,Pica,ppi36,10,10,427,16,451,736,390, @giovapica 
Gladys,Lopez Acevedo,plo382,8,5,188,19,775,39,180, @gladyslopezwb 
Clara,Gonzalez,pgo284,4,0,31,12,"4,515","1,228","1,519", @glezclarisa 
Gokhan,Ozertan,poz31,2,0,14,10,"2,958",939,"1,484", @gokhanozertan 
Joshua,Gottlieb,pgo188,8,8,729,11,"1,925",609,"1,361", @gottliebecon 
Gabriel,Mihalache,pmi497,2,0,10,3,1,8,0, @gp_mihalache 
Raffaele,Grimaldi,pgr339,1,0,7,6,362,341,221, @graffagraffa 
Gray,Calhoun,pca491,2,1,16,4,2,140,151, @grayclhn 
N. Gregory,Mankiw,pma131,57,79,16159,37,971,1,"14,700", @gregmankiwblog 
Gregory,Givens,pgi104,3,1,51,11,897,61,170, @gregorygivens 
Giorgio,Motta,pmo372,5,2,55,3,"6,016","1,218",324, @grg_motta 
Constantin,Gurdgiev,pgu359,3,2,135,13,"176,000",841,"34,400", @gtcost 
Gundi,Knies,pkn24,4,2,76,12,"1,070",441,442, @gundiknies 
Guo,Xu,pxu79,2,0,14,5,57,770,"1,423", @guoxu_econ 
Paolo,Verme,pve105,8,7,235,23,"2,227",370,937, @gvermandel 
Metodij,Hadzi-Vaskov,pha531,2,1,26,11,2,2,36, @hadzivaskov 
Martin,Halla,pha188,10,10,329,14,782,481,287, @hallamartin 
Hannes,Wagner,pwa105,6,5,138,13,278,49,179, @hanneswagner 
Hans-Werner,Sinn,psi146,33,79,3801,43,236,6,"10,500", @hanswernersinn 
Zubair,Hasan,pha42,5,1,91,35,4,2,18, @hasan_zubair 
Jonathan,Haskel,pha161,25,52,2499,29,"1,780",666,"3,224", @haskelecon 
Justus,Haucap,pha87,13,19,663,23,"8,600","1,855","3,380", @haucap 
Hilde,BjÃ¸rnland,pbj2,14,19,607,22,"1,121",251,"1,724", @hcbjornland 
James,Heckman,phe22,87,209,34823,46,"1,622","2,043","15,400", @heckmanequation 
Heiwai,Tang,pta306,8,8,212,7,"1,443",467,"1,252", @heiwai_tang 
Helene,Rey,pre8,25,33,3416,21,455,392,"1,093", @helene_rey 
Helen,Miller,pmi761,6,5,134,7,"1,072",407,"1,134", @helenmiller_ifs 
Henrik,Jordahl,pjo15,11,11,502,18,"1,922","1,111","1,376", @henrikjordahl 
Artur,Tarassow,pta322,2,1,45,10,"5,014",355,88, @herr_t_punkt 
Henrik,Jensen,pje99,14,19,913,25,530,55,306, @hjecon 
Harald,Oberhofer,pob22,6,3,129,16,"5,713",296,589, @ho2604 
Mark,Holmes,pho188,13,21,678,30,11,241,81, @holmes_markj 
Horatiu,Rus,pru116,2,0,11,12,"3,853",668,341, @horatiurus 
Harry,Patrinos,ppa91,13,17,1319,26,"8,930","2,982","4,383", @hpatrinos 
Helmut,Reisen,pre79,13,15,586,39,"8,597",393,"1,360", @hrreisen 
Holger,Stichnoth,pst308,8,6,157,16,104,319,100, @hstichnoth 
Hugo,ÌÔopo,pno16,10,11,302,15,"15,100",800,"6,826", @hugonopo 
Brad,Humphreys,phu36,14,19,608,20,"4,278",920,"1,022", @humphreys_brad 
Tarun,Jain,pja191,5,1,76,8,430,274,632, @hyderabadi_chai 
Hyun Song,Shin,psh692,41,108,6842,28,768,386,"16,200", @hyunsongshin 
Stefano,Iacus,pia3,6,5,372,20,"2,215",440,"1,197", @iacus 
Max,Nathan,pna331,8,7,169,10,"4,233",794,"1,871", @iammaxnathan 
Ian,Preston,ppr2,20,30,1911,28,"2,694",525,"1,291", @ianppreston 
Ingo,BÃ¶bel,pbo42,2,0,17,36,"1,946",183,244, @ibobel 
Ibrahim,Turhan,ptu113,6,1,83,9,"2,765",102,"3,392", @ibrahimmturhan2 
Iikka,Korhonen,pko199,12,14,689,19,"26,200",852,"2,046", @iikkakorhonen 
Ilaria,Maselli,pma1836,4,1,48,5,"2,394",813,984, @ilariainbxl 
Ilhan,Ozturk,poz20,24,44,2357,17,26,25,83, @ilhanozturk 
Ethan,Ilzetzki,pil21,8,7,858,10,"1,743",92,350, @ilzetzki 
Imran,Rasul,pra365,25,32,2435,15,938,336,"2,598", @imranrasul3 
Ingrid Harvold,Kvangraven,pkv10,1,0,3,2,"4,789",845,"4,460", @ingridharvold 
Iliana,Olivie Aldasoro,pol200,1,1,11,15,"2,197",268,"1,421", @iolivie 
Isabel,Schnabel,psc48,12,15,567,19,"2,337",196,"2,173", @isabel_schnabel 
Isabelle,Mejean,pmj1,11,12,374,14,90,127,185, @isabellemejean 
Ibrahim,Sirkeci,psi43,5,1,74,13,"2,563",932,"1,359", @isirkeci 
Italo,Gutierrez,pgu568,1,0,6,2,294,429,279, @italoguti 
Fabrice,Valognes,pva571,5,3,63,6,188,607,283, @ivalodia 
Ivan,Etzo,pet10,4,3,106,9,1,1,13, @ivan_etzo 
Isabel,MartÃ?nez,pma1777,2,0,7,4,234,240,210, @izmartinez86 
Julien,Pouget,pju32,7,5,255,10,729,411,438, @j_pouget 
Javier,GÃ?mez Prieto,pgm30,1,0,2,1,"3,783","2,575","1,479", @jagopri 
James,Bessen,pbe44,13,13,752,21,"2,850",584,"2,452", @jamesbessen 
James,Campbell,pca1243,1,1,18,3,4089,"1,302",457, @jamesdcamp 
James,Feigenbaum,pfe480,2,0,4,5,"3,168",542,"1,407", @jamesfeigenbaum 
James,Wabenga Yango,pwa745,2,0,6,14,6,128,14, @jameswabenga 
Jan,Kunnas,pku374,4,1,39,4,"8,282","2,283","1,241", @jankunnas 
Jan,Sauermann,psa356,6,5,103,12,131,190,269, @jansauermann 
JuliÃ¡n,Parra-PolanÃ?a,ppa741,4,1,47,14,730,466,618, @japuneco79 
Jared,Rubin,pru106,8,8,181,9,"1,702",426,"2,380", @jaredcrubin 
Jarle,MÃ¸en,pmo44,10,10,552,20,456,918,999, @jarlenhh 
Ron,Jarmin,pja54,21,28,2077,26,"1,561",310,646, @jarmin_ron 
Jason,Collins,pco563,2,1,17,5,2981,666,"2,520", @jasonacollins 
Jason,Barr,pba130,5,2,106,17,266,293,96, @jasonbarrru 
Jayson,Lusk,plu63,24,56,2314,19,"7,323",995,"4,605", @jaysonlusk 
Joshua,Miller,pmi476,5,0,38,3,986,252,416, @jben0 
Jason,Briggeman,pbr521,1,1,11,2,"7,988",388,534, @jbriggeman 
John,Bradbury,pbr707,3,3,112,16,"12,000",311,"3,325", @jc_bradbury 
J√©zabel,Couppey-Soubeyran,pco637,4,2,59,20,2864,483,"2,701", @jcs_mbf 
Joze,Damijan,pda74,12,15,737,16,"4,911",73,"2,661", @jdamijan 
Jim,Dolmas,pdo250,6,6,244,22,13,148,16, @jdolmas 
Jonathan,Portes,ppo583,7,5,202,19,"56,500",640,"45,000", @jdportes 
Jean,Tirole,pti33,75,161,24284,38,10,0,"11,000", @JeanTirole 
John,Bistline,pbi297,3,0,21,7,386,335,184, @jebistline 
Jeemol,Unni,pun33,3,1,79,24,880,355,480, @jeemolunni 
Jeffrey,Lin,pli592,4,4,260,11,498,192,223, @jeffrlin 
Jennifer,Doleac,pdo241,3,1,67,6,"10,100","1,679","6,309", @jenniferdoleac 
Jenny,Schuetz,psc685,4,2,102,10,442,197,648, @jenny_schuetz 
Jens,Klose,pkl80,8,7,123,9,23,61,34, @jens__klose 
Jennifer,Winter,pwi267,3,0,13,6,"3,588","1,356","1,615", @jenwinter_yyc 
Jessica,Hoel,pho556,2,1,18,2,"1,463",485,"1,627", @jess_hoel 
Jonathan,Schulz,psc586,3,2,60,5,235,448,577, @jf_schulz 
Jon,Fiva,pfi35,10,10,215,14,"1,995",365,624, @jfiva 
Jean-Guillaume,Sahuc,psa109,10,10,351,17,147,81,182, @jgsahuc 
James,Cust,pcu53,6,5,101,11,1435,"4,995","4,066", @jimcust 
JosÃ© Luis,Ferreira,pfe137,4,2,56,24,"19,400",436,"3,848", @jl_ferr 
Joshua,Rosenbloom,pro664,7,5,240,28,390,116,129, @jlrosenbloom 
Julien,Malizard,pma1622,3,0,19,9,85,668,276, @jmalizard 
Mark,Leonard,ple783,1,0,3,15,"3,380",502,491, @jmarkleonard 
John,Spraggon,psp74,8,8,343,19,54,524,10, @jmspragg 
JoaquÃ?n,Saldain,psa1416,1,0,3,1,"11,100",833,574, @joaco_saldain 
P. Joakim,Westerholm,pwe381,3,0,19,10,995,805,863, @joakimw 
Joan,Costa-i-Font,pco20,15,21,587,18,2637,272,680, @joancostaifont 
Johanna,Fajardo-Gonzalez,pfa258,2,1,27,6,311,571,323, @johannafg 
Johannes,Emmerling,pem32,4,2,40,5,9,135,56, @johannesemm 
Johannes,Boehm,pbo840,1,1,12,3,114,122,178, @johannesmboehm 
John,Barrdear,pba1222,3,3,59,3,"1,249",371,204, @johnbarrdear 
John,Horton,pho433,5,1,201,7,"2,836",720,"2,488", @johnjhorton 
Peran,van Reeven,pva393,4,2,55,18,"14,800","1,853","17,000", @johnvanreenen 
John,Budd,pbu1,8,7,319,27,"1,557",167,562, @johnwbudd 
John,Whitehead,pwh15,19,31,1087,25,"6,652",385,887, @johnwhitehead81 
Jo,Michell,pmi660,2,2,34,5,"29,700",918,"4,166", @jomicheii 
Jose,Roche,pro572,5,3,166,7,"5,882","2,117","1,782", @jomroche 
Jonas,Dovern,pdo155,11,11,445,12,576,75,147, @jonasdovern 
Vasileios,Vlachos,pvl20,1,0,2,17,"23,300",730,"5,203", @jonasvlachos 
Jonathan,de Quidt,pde730,3,2,44,5,"3,081",339,518, @jondequidt 
Jonathan,Smith,psm127,4,2,104,6,269,142,213, @jonisaacsmith 
Jorge,Restrepo,pre46,3,1,46,14,"87,100",469,"18,000", @jorgearestrepo 
Jorge,Garza-Rodriguez,pga587,2,0,14,16,"1,228",178,58, @jorgegarzardz 
Jorge,Uribe,pur43,2,0,14,2,"2,665",27,240, @jorgemariouribe 
Jorge,PÃ©rez PÃ©rez,ppe453,1,0,1,6,"2,454",608,352, @jorpppp 
Joseph,Stiglitz,pst33,72,217,26319,51,673,93,"219,000", @JosephEStiglitz 
Joseph,Staudt,pst827,1,0,3,1,19,231,27, @josephstaudt 
Joshua,Gans,pga42,21,33,1806,29,"22,800",379,"6,180", @joshgans 
Joshua,Berning,pbe588,4,3,48,11,"2,039",496,298, @joshuaberning 
Joshua,Greenstein,pgr606,2,1,29,5,498,355,138, @joshuapell1 
Joshua,Goodman,pgo281,8,6,235,22,"5,596",292,"3,691", @joshuasgoodman 
John,Tang,pta205,3,0,23,11,702,118,298, @jp_tang 
Juan,Robalino,pro542,9,8,213,10,355,414,157, @jrobalinoecon 
Jens,Suedekum,psu123,18,23,894,17,"2,161",303,"1,485", @jsuedekum 
Juan,de Lucio,pde610,6,4,149,21,"3,650",367,627, @juan_de_lucio 
Juan Rafael,Vargas,pva774,1,1,11,2,"2,368",991,"1,573", @juanf_vargas 
Edgar,Villa,pvi213,4,1,44,8,"5,688",463,"1,167", @juanmvilla 
Julia,Gruebler,pgr588,3,0,11,3,99,167,92, @juliagruebler 
Julian,Hinz,phi178,1,0,1,1,463,790,328, @julianhinz 
Julien,Idier,pid4,5,3,134,10,85,172,199, @julien_idier 
Julien,Pinter,ppi414,1,0,1,1,"1,210",373,489, @julienp_bsi 
Justin,Sandefur,psa778,9,7,218,11,"14,500","1,701","12,000", @justinsandefur 
Justin,Wolfers,pwo9,24,32,3855,18,"27,200",882,"144,000", @justinwolfers 
Justus,Wesseler,pwe17,8,7,197,18,34,9,53, @justuswesseler 
Cristina,Vespro,pve292,4,2,103,1,6,717,74, @jvespignani 
Yannick,Kalantzis,pka185,5,2,85,11,261,80,139, @kalantzis 
Kenan,Kalayci,pka340,3,2,61,6,"4,887",817,"1,235", @kalayci_kenan 
Kalle,Hirvonen,phi154,6,2,58,5,692,988,495, @kallehi 
Kamal,Lamichhane,pla799,2,0,7,8,"1,376",208,"12,600", @kamallamichhan 
Kamiar,Mohaddes,pmo519,11,12,352,17,293,420,274, @kamiarmohaddes 
Karina,Doorley,pdo214,5,1,59,9,64,103,90, @karinadoorley 
Kasey,Buckles,pbu157,7,5,271,10,303,127,990, @kasey_buckles 
Daniel,Kaufmann,pka480,4,1,39,9,322,219,159, @kaufmanndani 
Kaushik,Basu,pba464,23,46,2497,35,"5,420",632,"102,000", @kaushikcbasu 
Kristy,Buzard,pbu379,4,0,32,9,167,50,103, @kbuzard7 
Melissa,Kearney,pke151,13,15,1404,11,"1,180",291,"4,304", @kearney_melissa 
Keisuke,Hirano,phi11,7,7,717,19,525,485,341, @keisukehirano 
Kelbesa,Megersa,pme555,2,0,6,4,578,902,187, @kelbesamegersa 
Ken,Clark,pcl23,12,14,640,23,1446,314,348, @kenclarkecon 
Keshab,Bhattarai,pbh51,5,1,67,20,194,137,34, @keshabrbhattar1 
Kevin,Denny,pde229,10,11,335,27,"1,919",744,"1,204", @kevindenny 
Kevin,O'Rourke,por7,22,40,2154,29,"3,759",592,"5,322", @kevinhorourke 
Kevin,Milligan,pmi14,18,29,1650,18,"4,194",167,"9,066", @kevinmilligan 
Klaus,Zimmermann,pzi13,29,91,3554,38,692,140,551, @kfzimmermann 
Khalid,Siddig,psi364,3,1,46,8,14,92,38, @khalidhasiddig 
Gary,King,pki187,14,16,1092,32,"4,368","10,100","26,800", @kinggary 
Stijn,Kelchtermans,pke174,5,3,66,12,369,"1,506",527, @kingofthebongo 
Konstantin,Wacker,pwa432,4,0,37,7,767,384,333, @km_wacker 
Kelly,Jones,pjo285,3,2,42,4,84,183,180, @kmpjones 
MiklÃ?s,Koren,pko6,10,10,624,13,948,"1,383",557, @korenmiklos 
Kenneth,Rogoff,pro164,63,109,28586,38,459,178,"11,400", @krogoff 
Lance,Bachmeier,pba1435,7,7,368,11,"2,976",510,556, @lancebachmeier 
Lasse,Becker,pbe966,1,0,6,1,"15,500","1,526","4,530", @lassebecker 
LÃ¡szlÃ?,KÃ?czy,pko27,6,4,108,19,549,108,110, @laszlokoczy 
Laurens,Swinkels,psw2,6,4,94,16,"4,528","1,152","1,150", @laurensswinkels 
Laurent,Franckx,pfr11,3,1,46,14,"11,600",475,554, @laurentfranckx 
Luis,Pereira,ppe189,3,0,17,11,320,"1,305",189, @lbritespereira 
Laura,Coroneo,pco461,4,2,73,11,87,63,297, @lcoroneo 
Leandro,Prados de la Escosura,ppr58,8,7,351,35,126,82,424, @ldelaescosura 
Laurent,Denant-BoÃ¨mont,pde364,6,4,295,23,"3,389",305,230, @ldenant 
Leah,Boustan,pbo332,11,12,459,12,"6,005",756,"7,026", @leah_boustan 
RÃ©mi,Le Gall,ple892,1,0,4,2,116,141,39, @legall_remi 
Fernando,Leibovici,ple692,5,5,105,7,110,570,165, @leibovicif 
Lekha,Chakraborty,pch589,4,0,41,12,13300,932,684, @lekhachakrborty 
Leopoldo,Fergusson,pfe176,7,7,174,14,"2,637",550,"4,652", @leopoldotweets 
Lars,Svensson,psv2,48,104,9664,41,717,209,"4,802", @leosven 
Lawrence,Summers,psu137,58,108,14453,40,"3,743",560,"112,000", @LHSummers 
Liam,Wagner,pwa278,6,4,134,10,"9,742","4,279","2,189", @liam_wagner 
Liam,Delaney,pde287,10,12,264,13,"26,900","3,290","4,839", @liamdelaneyecon 
Finn,KÃ¶rner,pkr145,1,0,7,4,10,10,18, @liberalkorner 
Linda,Yueh,pyu233,8,8,187,17,"44,900","2,280","71,400", @lindayueh 
Lindsay,Tedds,pte38,5,3,81,18,"7,861",875,"3,883", @lindsaytedds 
Leonardo,Monasterio,pmo360,4,0,30,13,"17,500",917,"3,978", @lmonasterio 
Lars Peter,Ì÷sterdal,pst511,10,11,302,15,165,97,213, @lposterdal 
Louis-Philippe,Rochon,pro341,7,2,188,20,"3,542",80,"1,126", @lprochon 
Luca,Pensieroso,ppe161,4,1,30,12,74,86,52, @lucalln 
Lucia,Mangiavacchi,pma1105,3,3,56,9,55,77,50, @lucia_mangiavac 
Luciano,Lavecchia,pla547,2,0,9,7,60,"2,029","1,182", @lucianolavecchi 
Luis,Garicano,pga77,18,23,1619,18,"10,800",210,"60,400", @lugaricano 
Denis,V√Æntu,pvn1,1,0,4,2,842,"1,538",608, @luiginomics 
Luis,Fierro,pfi312,1,0,1,11,"26,800","4,932","1,580", @luis_fierro_eco 
Luis,Reyes,pre302,1,0,8,7,"1,914",286,437, @luiscrh 
Luis,Rojas,pro316,5,1,42,7,61,89,38, @luiserojasd 
Luis-Fernando,MejÃ?a,pme106,4,3,535,9,"2,410",566,"6,001", @luisfermejia 
Lyman,Stone,pst831,1,0,1,1,"59,700","1,131","5,799", @lymanstoneky 
Mercedez,Callenes,pca676,2,1,31,2,22,88,32, @m_callenes 
Michael,Clemens,pcl20,17,27,1491,18,34300,"3,824","33,600", @m_clem 
Matthew,Mitchell,pmi30,10,10,310,19,"2,142",304,355, @m_ttm_ 
Martin,Berka,pbe194,7,7,153,13,221,212,65, @mabe74 
David,Macpherson,pma214,13,17,704,29,22,61,38, @macpherson_da 
Nicholas,Rowe,pro12,4,0,34,36,"7,295",147,"2,120", @macrowenick 
Mafini,Dosso,pdo402,2,1,31,6,183,154,271, @mafinidosso 
Martin,Kocher,pko29,25,37,1945,17,664,550,946, @magratheantimes 
Md Mahbubul,Hakim,pha759,1,0,3,7,19,31,8, @mahbub_hakim 
Marc,Hofstetter,pho141,5,3,87,21,"2,370",109,"4,554", @mahofste 
Maksym,Polyakov,ppo264,3,1,30,12,687,152,107, @maksympolyakov 
Manuel,Gonzalez-Astudillo,pgo189,2,0,11,13,"27,100",965,"3,833", @manugonzalez76 
Manuel,Hidalgo,phi57,2,1,22,8,"84,000","1,071","5,928", @manuj_hidalgo 
Marc,Duhamel,pdu178,1,1,14,9,"4,936",740,447, @marc_duhamel 
Marcelo,Medeiros,pme108,6,6,173,16,988,813,"2,181", @marcelo_meds 
Marcel,Smolka,psm129,4,2,91,8,83,103,53, @marcelsmolka 
Marc,Bellemare,pbe260,10,13,513,14,"15,400","2,359","4,840", @marcfbellemare 
Marco,Lombardi,plo54,11,13,546,16,34,137,109, @marco_jacopo 
Marco,Veronese Passarella,ppa651,8,7,235,8,130,193,292, @marco_v_p 
Marco,Marini,pma163,4,1,59,23,13,66,78, @marcomariniuni 
Marco,Sanfilippo,psa712,7,6,190,9,251,318,167, @marcosanfilip 
Marc,Pourroy,ppo417,2,0,8,5,187,360,253, @marcpourroy 
Marc-Olivier,Strauss-Kahn,pst576,3,1,62,19,"1,656",161,634, @marcstrausskahn 
Marina,Della Giusta,pde403,7,4,121,19,739,468,290, @mardelgiu 
Marek,Giebel,pgi231,1,0,2,3,"1,696",985,297, @marekgiebel 
Margaret,Walls,pwa428,11,11,571,22,"1,877",280,406, @margaretwalls1 
Maria,Demertzis,pde274,13,16,489,23,"1,696",160,472, @mariademertzis 
Mariana,Zerpa,pze64,1,0,7,4,318,333,340, @marianazerpa 
Maria,Persson,ppe395,8,7,183,10,233,636,245, @mariaperssonlu 
Mario,Holzner,pho228,6,4,167,16,"3,217","3,384","2,033", @marioholzner 
Mariarosaria,Comunale,pco777,3,1,38,4,11900,"2,533",611, @mariosa_com 
Marios,Zachariadis,pza12,8,8,428,19,"2,612",14,"1,431", @marioszachariad 
Mari,Rege,pre427,13,16,718,18,334,280,797, @marisrege 
Mariya,Neycheva,pne67,2,0,17,12,12,44,60, @mariyaneycheva 
Mark,Harrison,pha297,5,1,90,43,"3,354",159,"1,182", @mark4harrison 
Mark,Koyama,pko293,6,2,85,10,"6,109",530,"4,958", @markkoyama 
Markku,Lanne,pla260,18,25,1041,22,576,55,91, @markkulanne 
Mark,Thoma,pth228,7,4,221,27,"59,700",433,"44,600", @markthoma 
Markus,Brunnermeier,pbr31,22,28,4523,20,973,507,"7,214", @markuseconomist 
Marlon,Boarnet,pbo568,10,12,468,21,"3,619",483,"1,236", @marlon_boarnet 
Marta,Lachowska,pla637,3,0,26,9,168,50,91, @martalachowska 
Martha,Olney,pol213,3,1,62,34,"3,052",31,"2,201", @marthaolney 
Inmaculada,MartÃ?nez-Zarzoso,pma470,14,17,777,20,23,32,36, @martinei1 
Martin,Gonzalez-Rozada,pgo321,8,6,231,20,"4,125",299,"2,436", @martingrozada 
Martino,Pelli,ppe632,1,1,22,4,352,292,114, @martinopelli 
Martin,Ravallion,pra29,54,160,10313,38,"1,034",246,"6,606", @MartinRavallion 
Martin,Gaynor,pga1,20,26,1208,33,"18,300",675,"4,829", @martinsgaynor 
Martin,Uebele,pue7,5,1,52,11,67,61,57, @martinuebele 
Massimo,Canali,pca651,1,0,2,1,28,29,16, @massimocanali3 
Mathieu,Perona,ppe402,1,0,3,4,"9,558",280,649, @mathieuperona 
Matthieu,Bussiere,pbu118,21,31,1399,19,569,196,271, @matt_bussiere 
Matt,Dickson,pdi176,7,7,157,12,"3,666",793,355, @mattdickson__ 
Matthew,Webb,pwe297,3,2,71,4,112,149,122, @mattdwebb 
Matteo,Galizzi,pga211,6,4,157,13,"3,369",716,941, @matteo_galizzi 
Matteo,Pelagatti,ppe139,6,4,124,13,16,78,49, @matteopela 
Matthias,Krapf,pkr131,5,2,57,8,47,45,49, @matthiaskrapf 
Matthew,Kahn,pka41,30,63,3415,27,"6,242",547,"2,150", @mattkahn1966 
Maurizio,Fiaschetti,pfi227,1,0,4,5,352,143,39, @maufiaschetti 
Antonio,Villanacci,pvi135,7,6,249,23,182,29,198, @mauriciovillam 
Faik,Bilgili,pbi181,6,4,120,25,"6,111",252,654, @maviwest 
Max,Roser,pro1089,2,0,12,6,"5,162",638,"124,000", @maxcroser 
Maxime,Desmarais-Tremblay,pde1050,2,0,7,6,296,154,214, @maxime_dt 
Maximo,Rossi,pro22,7,6,273,29,"2,708",308,555, @maximrossi 
Maximilian,Kasy,pka876,5,2,60,13,"1,003",229,"1,565", @maxkasy 
Maxwell,Ekor,pek36,1,0,1,3,182,"1,193",197, @maxwellekor 
Monica,Billio,pbi55,15,19,940,20,395,206,361, @mbillio 
Mark,McGovern,pmc202,3,0,36,9,226,179,214, @mcgovern_me 
Maria-Carmen,Guisan,pgu2,6,2,165,23,7,19,6, @mcguisan 
Mireille,Chiroleu-Assouline,pch456,5,4,111,28,196,126,215, @mchiroleua 
Matthias,Doepke,pdo8,15,21,2035,17,25,64,171, @mdoepke 
A.,Over,pov11,6,3,109,41,410,121,749, @meadover 
Markus,Eberhardt,peb16,11,11,535,9,"9,047",622,"2,312", @medevecon 
Melanie Meng,Xue,pxu96,1,0,1,3,303,193,336, @melanie_xue 
Marcela,MelÃ©ndez,pme414,6,1,108,13,"4,970",666,"4,049", @melendezmarcela 
Marco,Guidi,pgu293,1,0,9,23,123,274,264, @melguidi 
Miguel,Faria-e-Castro,pfa225,4,1,41,6,29,102,68, @mfariacastro 
Martin,Filko,pfi116,1,0,7,8,714,40,364, @mfilko 
Marcel,Fratzscher,pfr34,36,70,4350,19,"3,516",424,"10,800", @mfratzscher 
Martin,Rapetti,pra581,8,8,213,12,"4,591","1,018","6,519", @mgrapetti 
Michal,Horvath,pho183,2,0,16,10,"3,745",606,464, @mh0rvath 
