first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username
AndrÃ©s,LÃ?pez,plp8,5,3,139,23,"3,956",645,"1,802", @anlopez1962 
Anne,Lavigne,pla407,2,0,16,33,"5,624",207,855, @anne__lavigne 
Anne,Boring,pbo736,2,0,9,2,"1,202",783,611, @anne_boring 
Antoine,Missemer,pmi711,2,0,8,7,479,599,779, @ant_mis1 
Anthony,Evans,pev27,2,0,9,10,"10,400",378,"1,362", @anthonyjevans 
Antoine,Berthou,pbe393,10,11,316,11,652,209,367, @antoineberthou 
Antonio,Fatas,pfa1,17,19,1624,23,"4,588",128,"3,262", @antoniofatas 
Antonio,Mele,pme328,1,1,15,9,"15,200","3,072","1,021", @antoniomele101 
Anushree,Sinha,psi276,2,0,9,16,16,16,4, @anushreesinha1 
Aparna,Soni,pso521,2,1,20,1,57,185,159, @aparnasoni7 
Andreas,Peichl,ppe202,18,32,1237,16,"5,324","1,841","2,088", @apeichl 
Alessandro,Rebucci,pre6,18,26,988,18,133,358,281, @arebucci1 
Agustin,Redonda,pre377,1,0,7,8,"2,001",513,163, @aredonda 
Areendam,Chanda,pch59,10,10,1077,15,618,289,160, @areendam_c 
Arthur,Turrell,ptu183,1,0,7,1,"3,386",719,515, @arthurturrell 
Angeloantonio,Russo,pru281,5,5,154,11,398,423,252, @arussophd 
Arvind,Subramanian,psu108,24,35,4562,24,998,48,"94,000", @arvindsubraman 
Asma,Baloch,pba262,4,2,58,12,"1,301",159,326, @asmahyder 
Alexander,Tabarrok,pta201,7,6,287,23,"1,152",317,"18,000", @atabarrok 
Ata,Bertay,pbe694,3,3,140,6,908,328,212, @atabertay 
Anne,Kuriakose,pku309,2,0,9,10,"1,719","3,519",679, @atkuriakose 
Marta,Portela,ppo255,3,2,32,14,"8,502",924,334, @atrampm 
Aleksandr,Gevorkyan,pge178,2,0,10,10,722,424,290, @avgevorkyan 
Eva,Vicente,pvi249,2,0,10,26,"3,676",20,288, @aviceisza 
Avi,Goldfarb,pgo53,16,24,827,16,"1,174",454,"1,504", @avicgoldfarb 
Barry,Eichengreen,pei2,54,176,10280,38,"2,113",0,"30,400", @B_Eichengreen 
Ruediger,Bachmann,pba751,12,13,771,13,"6,468",67,740, @bachmannrudi 
Richard,Baldwin,pba124,44,76,6422,30,"22,900","1,311","16,200", @baldwinre 
Bastiaan,Quast,pqu133,1,1,12,1,145,373,116, @baquast 
Barrett,Kirwan,pki135,5,4,198,13,"8,125","1,213",825, @barrettkirwan 
David,Flynn,pfl24,1,0,2,9,"35,700",501,619, @barterisevil 
Bart,Wilson,pwi115,11,16,419,19,"2,701",108,486, @bartwilson 
Moreno,Baruffini,pba745,1,0,3,4,623,414,137, @baruffinimoreno 
Bernardo,Batiz-Lazo,pba14,3,0,26,16,"74,600","2,618","2,530", @batizlazo 
Boris,Branisa,pbr324,6,4,94,7,"4,773","1,199",335, @bbranisa 
Barbara,Casu,pca151,13,15,681,17,69,81,48, @bcasulukac 
